index,baseline_scores
0,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.2142857142857143, 'ROUGE-2': 0.03703703703703704, 'ROUGE-L': 0.17857142857142858, 'BLEU': 0.02695168794997702}"
1,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.3076923076923077, 'ROUGE-2': 0.0634920634920635, 'ROUGE-L': 0.2153846153846154, 'BLEU': 0.02585545716412742}"
2,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 2.0, 'Conciseness': 3.0, 'Overall_Average': 2.0, 'ROUGE-1': 0.24731182795698922, 'ROUGE-2': 0.14130434782608695, 'ROUGE-L': 0.16129032258064518, 'BLEU': 0.0304144507751992}"
3,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.1724137931034483, 'ROUGE-2': 0.07017543859649122, 'ROUGE-L': 0.13793103448275862, 'BLEU': 0.021164171760093317}"
4,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 4.0, 'Conciseness': 1.0, 'Overall_Average': 1.8, 'ROUGE-1': 0.15238095238095237, 'ROUGE-2': 0.038834951456310676, 'ROUGE-L': 0.15238095238095237, 'BLEU': 0.01050639890524698}"
5,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.160427807486631, 'ROUGE-2': 0.043243243243243246, 'ROUGE-L': 0.11764705882352942, 'BLEU': 0.008952764464993436}"
6,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.20370370370370372, 'ROUGE-2': 0.06542056074766356, 'ROUGE-L': 0.1574074074074074, 'BLEU': 0.01644293113864304}"
7,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.21505376344086025, 'ROUGE-2': 0.05054151624548737, 'ROUGE-L': 0.15053763440860218, 'BLEU': 0.014261029042722391}"
8,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 2.2, 'ROUGE-1': 0.2787878787878788, 'ROUGE-2': 0.14723926380368096, 'ROUGE-L': 0.24242424242424243, 'BLEU': 0.06095191575720168}"
9,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.302158273381295, 'ROUGE-2': 0.07971014492753624, 'ROUGE-L': 0.17985611510791366, 'BLEU': 0.03033057356729695}"
10,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.2857142857142857, 'ROUGE-2': 0.10144927536231883, 'ROUGE-L': 0.17142857142857143, 'BLEU': 0.020556097001135077}"
11,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.224, 'ROUGE-2': 0.08130081300813008, 'ROUGE-L': 0.192, 'BLEU': 0.022014735873995498}"
12,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 2.2, 'ROUGE-1': 0.13714285714285715, 'ROUGE-2': 0.023121387283236993, 'ROUGE-L': 0.10285714285714286, 'BLEU': 0.007215749086116229}"
13,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.08264462809917357, 'ROUGE-2': 0.01680672268907563, 'ROUGE-L': 0.08264462809917357, 'BLEU': 0.0044694029664133425}"
