index,bart_scores,t5_movie_scores,t5_synthetic_scores
0,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.15662650602409636, 'ROUGE-2': 0.024390243902439025, 'ROUGE-L': 0.09638554216867469, 'BLEU': 0.00479811738250094}","{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.13333333333333333, 'ROUGE-2': 0.04054054054054054, 'ROUGE-L': 0.09333333333333334, 'BLEU': 0.008377939637037044}","{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.11570247933884296, 'ROUGE-2': 0.01680672268907563, 'ROUGE-L': 0.09917355371900827, 'BLEU': 0.010163813873196504}"
1,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.1754385964912281, 'ROUGE-2': 0.023668639053254437, 'ROUGE-L': 0.14035087719298248, 'BLEU': 0.010187790689398029}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.6, 'ROUGE-1': 0.189873417721519, 'ROUGE-2': 0.0641025641025641, 'ROUGE-L': 0.1518987341772152, 'BLEU': 0.010963525048163173}","{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 2.0, 'Conciseness': 1.0, 'Overall_Average': 1.8, 'ROUGE-1': 0.22448979591836735, 'ROUGE-2': 0.0625, 'ROUGE-L': 0.22448979591836735, 'BLEU': 0.01813100276899949}"
2,"{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.23863636363636365, 'ROUGE-2': 0.08045977011494253, 'ROUGE-L': 0.13636363636363635, 'BLEU': 0.030139334740582377}","{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.2909090909090909, 'ROUGE-2': 0.13496932515337423, 'ROUGE-L': 0.1696969696969697, 'BLEU': 0.029340449601074216}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.19672131147540983, 'ROUGE-2': 0.0, 'ROUGE-L': 0.14754098360655737, 'BLEU': 0.00706673472419653}"
3,"{'Descriptiveness': 4.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.2485875706214689, 'ROUGE-2': 0.11428571428571427, 'ROUGE-L': 0.19209039548022602, 'BLEU': 0.035650309661350264}","{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.23602484472049692, 'ROUGE-2': 0.0880503144654088, 'ROUGE-L': 0.1987577639751553, 'BLEU': 0.013888089110663132}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.2711864406779661, 'ROUGE-2': 0.03448275862068966, 'ROUGE-L': 0.1864406779661017, 'BLEU': 0.01403585043965586}"
4,"{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.1794871794871795, 'ROUGE-2': 0.012987012987012986, 'ROUGE-L': 0.11538461538461539, 'BLEU': 0.00807768830899196}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.1931034482758621, 'ROUGE-2': 0.04195804195804195, 'ROUGE-L': 0.16551724137931034, 'BLEU': 0.01583756396413286}","{'Descriptiveness': 5.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 5.0, 'ROUGE-1': 0.22500000000000003, 'ROUGE-2': 0.0, 'ROUGE-L': 0.2, 'BLEU': 0.009704056713741829}"
5,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.23863636363636365, 'ROUGE-2': 0.05747126436781609, 'ROUGE-L': 0.17045454545454544, 'BLEU': 0.013018837216990488}","{'Descriptiveness': 4.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.26143790849673204, 'ROUGE-2': 0.09271523178807947, 'ROUGE-L': 0.15686274509803919, 'BLEU': 0.015019242511995465}","{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 1.0, 'Conciseness': 4.0, 'Overall_Average': 2.2, 'ROUGE-1': 0.2677165354330709, 'ROUGE-2': 0.016, 'ROUGE-L': 0.2047244094488189, 'BLEU': 0.013010756660405354}"
6,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.3106796116504854, 'ROUGE-2': 0.12745098039215685, 'ROUGE-L': 0.21359223300970873, 'BLEU': 0.04120051204310482}","{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.3575418994413408, 'ROUGE-2': 0.0790960451977401, 'ROUGE-L': 0.2011173184357542, 'BLEU': 0.031849776452133806}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 4.6, 'ROUGE-1': 0.3636363636363637, 'ROUGE-2': 0.0425531914893617, 'ROUGE-L': 0.22377622377622378, 'BLEU': 0.017030438517533403}"
7,"{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.3, 'ROUGE-2': 0.043165467625899276, 'ROUGE-L': 0.17142857142857143, 'BLEU': 0.021895253321011332}","{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.34456928838951306, 'ROUGE-2': 0.06792452830188679, 'ROUGE-L': 0.18726591760299627, 'BLEU': 0.027696566535109546}","{'Descriptiveness': 5.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 5.0, 'ROUGE-1': 0.3319502074688797, 'ROUGE-2': 0.04184100418410042, 'ROUGE-L': 0.1908713692946058, 'BLEU': 0.01157415949580474}"
8,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.2530120481927711, 'ROUGE-2': 0.06097560975609756, 'ROUGE-L': 0.1927710843373494, 'BLEU': 0.013480739850929698}","{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.27972027972027974, 'ROUGE-2': 0.09929078014184398, 'ROUGE-L': 0.22377622377622378, 'BLEU': 0.046270360315585374}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.28571428571428564, 'ROUGE-2': 0.03636363636363636, 'ROUGE-L': 0.23214285714285715, 'BLEU': 0.016691533207952813}"
9,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 1.0, 'Conciseness': 1.0, 'Overall_Average': 1.0, 'ROUGE-1': 0.429090909090909, 'ROUGE-2': 0.10989010989010989, 'ROUGE-L': 0.21818181818181817, 'BLEU': 0.02689998523895921}","{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.31496062992125984, 'ROUGE-2': 0.03968253968253969, 'ROUGE-L': 0.1889763779527559, 'BLEU': 0.010719310874019358}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.29875518672199164, 'ROUGE-2': 0.02510460251046025, 'ROUGE-L': 0.16597510373443985, 'BLEU': 0.01592163197139512}"
